Condition,Biomarker,Molecular_Type,Sensitivity_Range,Specificity_Range,AUC_Range,Analytical_Methods,Biomaterial,Clinical_Application
Friedreich ataxia mitochondrial disease,NT-Pro BNP,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,ST2,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,troponin,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,Mitochondrial FXN,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,follistatin,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,myostatin,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,FXN levels,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,FXN concentration,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,PBMC FXN levels .,protein,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,Echocardiogram (imaging). Biochemical Biomarkers: Erythrocyte protoporphyrin IX,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,Urinary 8OH2'dG,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,Antioxidants,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,plasma malondialdehyde,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,plasma DHBA,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,urine F2-isoprostane,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,serum peroxides,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,NADH/NAD ratio,metabolite,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
Friedreich ataxia mitochondrial disease,FXN mRNA expression (nucleic acid),other,Not reported,Not reported,Not reported,Not specified,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.
"POLG-related mitochondrial disease, specifically POLG-related epilepsy.",Elevated cerebrospinal fluid (CSF) protein,other,Not reported,Not reported,Not reported,Not specified,"Cerebrospinal fluid (CSF), serum.",Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).
"POLG-related mitochondrial disease, specifically POLG-related epilepsy.",raised CSF/serum ratio of albumin (Q-alb ratio). Molecular type: protein,other,Not reported,Not reported,Not reported,Not specified,"Cerebrospinal fluid (CSF), serum.",Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).
"POLG-related mitochondrial disease, specifically POLG-related epilepsy.",albumin.,other,Not reported,Not reported,Not reported,Not specified,"Cerebrospinal fluid (CSF), serum.",Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).
Mitochondrial DNA Depletion Syndrome (MDS),Circulating cell-free mtDNA (molecular type: nucleic acid),dna,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Lactate (molecular type: metabolic acid),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Pyruvate (molecular type: metabolic acid),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Lactate:Pyruvate ratio (molecular type: metabolic ratio),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Creatine Kinase (CK) (molecular type: enzyme),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Creatine (molecular type: amino acid derivative),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Amino Acids (molecular type: amino acids),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Glutathione (molecular type: tripeptide),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Malondialdehyde (molecular type: lipid peroxidation product),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),GDF-15 (molecular type: cytokine),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),FGF-21 (molecular type: hormone),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Gelsolin (molecular type: protein),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Neurofilament light-chain (molecular type: protein),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),GDF-15 (for TK2 deficiency,other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),molecular type: cytokine),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),Methylmalonic aciduria (for SUCLA2 deficiency,other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),molecular type: organic acid),other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
Mitochondrial DNA Depletion Syndrome (MDS),No specific biofluid biomarkers found for RRM2B deficiency,other,76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,ELISA,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma","Diagnostic, Monitoring"
CoQ10 deficiency mitochondrial disease,Coenzyme Q10 (CoQ10) levels (lipid,other,Not reported,Not reported,Not reported,Not specified,"Skeletal muscle, dermal skin fibroblasts, lymphocytes, plasma, urine","Diagnosis, monitoring treatment response, potential for screening (though plasma/white blood cell levels are not reliable for diagnosis)"
CoQ10 deficiency mitochondrial disease,metabolite),other,Not reported,Not reported,Not reported,Not specified,"Skeletal muscle, dermal skin fibroblasts, lymphocytes, plasma, urine","Diagnosis, monitoring treatment response, potential for screening (though plasma/white blood cell levels are not reliable for diagnosis)"
Thymidine Kinase 2 Deficiency (TK2d),FGF-21,protein,0.71; 0.83,0.88; 0.92,0.90; 0.94,ELISA; Immunoassay,"Serum, Muscle tissue","Diagnostic (general mitochondrial disorders), Monitoring therapeutic response to deoxynucleoside treatment (TK2d), Indicators of disease severity (TK2d)"
Thymidine Kinase 2 Deficiency (TK2d),GDF-15,protein,0.71; 0.83,0.88; 0.92,0.90; 0.94,ELISA; Immunoassay,"Serum, Muscle tissue","Diagnostic (general mitochondrial disorders), Monitoring therapeutic response to deoxynucleoside treatment (TK2d), Indicators of disease severity (TK2d)"
Mitochondrial Aminoacyl-tRNA Synthetase Deficiency (mtARS deficiency),Fibroblast Growth Factor 21 (FGF21) - Hormone,other,100%,100%,0.933,ELISA,Serum,"Assessment of mitochondrial damage in mt-aARS deficiency, providing insight into the level of damage."
Luft disease (nonthyroidal hypermetabolism),No specific biofluid biomarkers with molecular types were identified for Luft disease in the available literature.,other,Not reported,Not reported,Not reported,Not specified,Not specified in available literature for biofluid biomarkers of Luft disease.,"Due to the extreme rarity and limited research on biofluid biomarkers for Luft disease, specific clinical applications (diagnostic, screening, monitoring, or prognostic) based on biofluid biomarkers are not established."
Primary mitochondrial myopathy,"Neurofilament light chain (NF-L) - protein
Fibroblast growth factor 21 (FGF-21) - protein
Growth and differentiation factor 15 (GDF-15) - protein",other,Not reported,Not reported,Not reported,ELISA; Simoa,Serum,"Diagnostic tool for mitochondrial disease.
Monitoring disease activity and progression (NF-L).
Identifying muscle involvement (FGF-21 and GDF-15).
Narrowing the choice of diagnostic tests in suspected mitochondrial disease."
