biomarker_id,biomarker_name,molecular_class,biomaterial,analytical_method,sensitivity_percent,specificity_percent,disease_specificity,age_group_performance,data_source,clinical_application,sensitivity_range,specificity_range,auc_range,condition
B149,lactic acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B150,gluconic acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B151,threonine,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B152,tryptophan,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B153,histidine,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B154,proline,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B155,glutamine,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B156,creatine,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B157,citrulline,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B158,3-Amino-2-piperidone,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B159,ornithine,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B160,arachidonic acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B161,malic acid,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B162,succinic acid (other metabolites/amino acids).,other,Serum,Chromatography,,,,,original_analysis,"Understanding the pathophysiology and underlying mechanisms of MIDD; potential for diagnostic signature.
Early diagnosis for optimal management and follow-up, differentiation from other types of diabetes, identification of at-risk family members. Genetic testing is crucial.",Not reported,Not reported,Not reported,Maternally Inherited Diabetes and Deafness (MIDD)
B163,Circulating microRNAs (miRNAs). Specifically,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B164,five plasma miRNAs (miR-192-5p,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B165,miR-193a-5p,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B166,miR-194-5p,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B167,miR-215-5p,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B168,and miR-34a-5p) and three serum miRNAs (miR-192-5p,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B169,miR-194-5p,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B170,and miR-34a-5p) were identified.,other,Plasma and serum samples.,PCR; qPCR,,,,,original_analysis,The study suggests that the identified miRNA panel may have prognostic value for assessing clinical status and could be included in future clinical trials of investigational therapies for MNGIE.,Not reported,Not reported,Not reported,Mitochondrial Neurogastrointestinal Encephalomyopathy (MNGIE)
B171,Cardiac Biomarkers: LVMI,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B172,LVEF,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B173,IVS,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B174,LVPW,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B175,FS,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B176,NT-Pro BNP,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B177,ST2,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B178,troponin,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B179,Mitochondrial FXN,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B180,follistatin,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B181,myostatin,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B182,FXN levels,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B183,FXN concentration,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B184,PBMC FXN levels .,protein,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B185,Echocardiogram (imaging). Biochemical Biomarkers: Erythrocyte protoporphyrin IX,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B186,Urinary 8OH2'dG,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B187,Antioxidants,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B188,plasma malondialdehyde,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B189,plasma DHBA,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B190,urine F2-isoprostane,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B191,serum peroxides,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B192,NADH/NAD ratio,metabolite,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B193,FXN mRNA expression (nucleic acid),other,"Not explicitly stated for each biomarker, but the study focuses on 'biofluid biomarkers' and mentions 'plasma', 'urine', 'serum', 'isolated lymphocytes', 'whole blood', 'PBMCs', 'buccal cells', and 'cerebrospinal fluid' in the context of biomarker measurement.",Not specified,,,,,original_analysis,Assessing therapeutic efficacy in Friedreich's ataxia patients; Detecting subtle disease progression.,Not reported,Not reported,Not reported,Friedreich ataxia mitochondrial disease
B194,Elevated cerebrospinal fluid (CSF) protein,other,"Cerebrospinal fluid (CSF), serum.",Not specified,,,,,original_analysis,Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).,Not reported,Not reported,Not reported,"POLG-related mitochondrial disease, specifically POLG-related epilepsy."
B195,raised CSF/serum ratio of albumin (Q-alb ratio). Molecular type: protein,other,"Cerebrospinal fluid (CSF), serum.",Not specified,,,,,original_analysis,Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).,Not reported,Not reported,Not reported,"POLG-related mitochondrial disease, specifically POLG-related epilepsy."
B196,albumin.,other,"Cerebrospinal fluid (CSF), serum.",Not specified,,,,,original_analysis,Early diagnosis and identification of patients at high risk of developing epilepsy in POLG-related disease. Prognostic implications (poorer outcome associated with blood-brain barrier dysfunction).,Not reported,Not reported,Not reported,"POLG-related mitochondrial disease, specifically POLG-related epilepsy."
B197,Circulating cell-free mtDNA (molecular type: nucleic acid),dna,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B198,Lactate (molecular type: metabolic acid),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B199,Pyruvate (molecular type: metabolic acid),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B200,Lactate:Pyruvate ratio (molecular type: metabolic ratio),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B201,Creatine Kinase (CK) (molecular type: enzyme),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B202,Creatine (molecular type: amino acid derivative),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B203,Amino Acids (molecular type: amino acids),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B204,Glutathione (molecular type: tripeptide),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B205,Malondialdehyde (molecular type: lipid peroxidation product),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B206,GDF-15 (molecular type: cytokine),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B207,FGF-21 (molecular type: hormone),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B208,Gelsolin (molecular type: protein),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B209,Neurofilament light-chain (molecular type: protein),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B210,GDF-15 (for TK2 deficiency,other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B211,molecular type: cytokine),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B212,Methylmalonic aciduria (for SUCLA2 deficiency,other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B213,molecular type: organic acid),other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B214,No specific biofluid biomarkers found for RRM2B deficiency,other,"lymphocyte samples, urine, serum, CSF, erythrocyte samples, blood/plasma",ELISA,,,,,original_analysis,"Diagnostic, Monitoring",76.5%; 22.2-34.1%; 11.5-82.4%; 15.1-100%; 34.6-88.2%,90.6%; 73.0-97.0%; 68.7-100%; 83.0-100%; 81.2-87.2%,Not reported,Mitochondrial DNA Depletion Syndrome (MDS)
B215,Coenzyme Q10 (CoQ10) levels (lipid,other,"Skeletal muscle, dermal skin fibroblasts, lymphocytes, plasma, urine",Not specified,,,,,original_analysis,"Diagnosis, monitoring treatment response, potential for screening (though plasma/white blood cell levels are not reliable for diagnosis)",Not reported,Not reported,Not reported,CoQ10 deficiency mitochondrial disease
B216,metabolite),other,"Skeletal muscle, dermal skin fibroblasts, lymphocytes, plasma, urine",Not specified,,,,,original_analysis,"Diagnosis, monitoring treatment response, potential for screening (though plasma/white blood cell levels are not reliable for diagnosis)",Not reported,Not reported,Not reported,CoQ10 deficiency mitochondrial disease
B217,FGF-21,protein,"Serum, Muscle tissue",ELISA; Immunoassay,,,,,original_analysis,"Diagnostic (general mitochondrial disorders), Monitoring therapeutic response to deoxynucleoside treatment (TK2d), Indicators of disease severity (TK2d)",0.71; 0.83,0.88; 0.92,0.90; 0.94,Thymidine Kinase 2 Deficiency (TK2d)
B218,GDF-15,protein,"Serum, Muscle tissue",ELISA; Immunoassay,,,,,original_analysis,"Diagnostic (general mitochondrial disorders), Monitoring therapeutic response to deoxynucleoside treatment (TK2d), Indicators of disease severity (TK2d)",0.71; 0.83,0.88; 0.92,0.90; 0.94,Thymidine Kinase 2 Deficiency (TK2d)
B219,Fibroblast Growth Factor 21 (FGF21) - Hormone,other,Serum,ELISA,,,,,original_analysis,"Assessment of mitochondrial damage in mt-aARS deficiency, providing insight into the level of damage.",100%,100%,0.933,Mitochondrial Aminoacyl-tRNA Synthetase Deficiency (mtARS deficiency)
B220,No specific biofluid biomarkers with molecular types were identified for Luft disease in the available literature.,other,Not specified in available literature for biofluid biomarkers of Luft disease.,Not specified,,,,,original_analysis,"Due to the extreme rarity and limited research on biofluid biomarkers for Luft disease, specific clinical applications (diagnostic, screening, monitoring, or prognostic) based on biofluid biomarkers are not established.",Not reported,Not reported,Not reported,Luft disease (nonthyroidal hypermetabolism)
